date,open,high,low,close,volume,volume
2019-01-08,2312.1705,2312.1705,2298.9548,2305.1708,18131160.0,22329122.125
2019-01-09,2320.9119,2360.3601,2318.4352,2332.7192,28747596.0,37485405.834
2019-01-10,2333.2162,2345.3313,2321.3049,2331.8507,22280507.0,28880603.065
2019-01-11,2342.0236,2360.0609,2334.9145,2354.4987,18417693.0,24514111.745
2019-01-14,2350.256,2354.3082,2330.0042,2331.1358,16462252.0,20643865.539
2019-01-15,2337.7021,2380.5995,2332.4095,2378.3696,22466336.0,32220714.37
2019-01-16,2375.1705,2385.216,2366.3446,2381.2178,18097039.0,25235752.765
2019-01-17,2388.5925,2396.7993,2370.5809,2371.3481,21555000.0,26964929.419
2019-01-18,2385.6219,2422.029,2380.5624,2417.363,30088200.0,37495330.1
2019-01-21,2418.0047,2443.2254,2418.0047,2432.487,26237236.0,33912529.398
2019-01-22,2430.4346,2430.4346,2394.1847,2401.233,19373137.0,25702750.008
2019-01-23,2397.4091,2414.024,2392.6418,2397.0493,16290135.0,20185057.238
2019-01-24,2401.3761,2414.888,2385.0986,2411.5621,20415697.0,27328503.933
2019-01-25,2419.2563,2453.6657,2418.0088,2441.64,25683679.0,32544229.949
2019-01-28,2455.2764,2473.1187,2429.8798,2437.0261,23468163.0,32696609.436
2019-01-29,2433.3057,2461.5178,2423.4611,2455.8968,21863480.0,27141683.077
2019-01-30,2445.8648,2462.6055,2439.3315,2440.0146,17835170.0,22414217.284
2019-01-31,2454.6436,2487.0965,2450.1839,2483.4709,26681298.0,34141608.094
2019-02-01,2502.1044,2503.5526,2479.3375,2499.6442,21950054.0,29364022.984
2019-02-11,2485.5032,2528.3844,2484.6479,2527.4736,25211570.0,34715191.184
2019-02-12,2528.103,2537.2935,2515.026,2533.1817,25458804.0,33771727.407
2019-02-13,2538.4162,2587.8764,2528.2264,2580.6116,39821832.0,48008835.511
2019-02-14,2572.6415,2585.5084,2564.8712,2576.3062,27718515.0,35168460.065
2019-02-15,2566.3365,2568.7861,2515.8877,2517.4622,30315796.0,39093901.907
2019-02-18,2540.5321,2583.3972,2540.2963,2582.8512,37400592.0,47875957.598
2019-02-19,2586.8583,2614.3646,2568.1759,2579.0463,37907379.0,49607504.218
2019-02-20,2593.7887,2599.5452,2569.983,2588.166,29965181.0,38166831.752
2019-02-21,2586.7389,2615.4696,2569.4752,2577.2255,35252855.0,44405018.411
2019-02-22,2575.9981,2623.0931,2555.7256,2623.0736,41384151.0,53491957.465
2019-02-25,2652.9056,2788.6667,2652.9056,2787.6987,96939051.0,125003280.129
2019-02-26,2781.3088,2804.1631,2729.4761,2733.9005,87230161.0,114283254.756
2019-02-27,2739.1109,2794.9321,2722.3094,2750.3391,75508865.0,91098634.597
2019-02-28,2749.8699,2767.8608,2733.0302,2743.9716,46340959.0,62186339.126
2019-03-01,2764.9462,2819.4681,2747.2132,2819.4681,56100147.0,76333697.134
2019-03-04,2839.4045,2907.8176,2816.9787,2832.5878,92180167.0,118854256.221
2019-03-05,2829.4997,2835.106,2807.1226,2828.8685,60349235.0,75288723.604
2019-03-06,2827.8574,2847.3784,2797.5022,2840.2717,69492224.0,91060938.203
2019-03-07,2831.3614,2831.3614,2773.3527,2789.7001,73263959.0,102232455.265
2019-03-08,2731.5301,2753.5526,2684.1969,2685.592,72033928.0,96388376.525
2019-03-11,2683.7646,2714.0892,2670.7929,2708.5982,52014052.0,70198689.432
2019-03-12,2730.5292,2759.6093,2704.6928,2719.7727,64867544.0,85051842.954
